local_name,agev_parcel_id,satel_parcel_id,year,crop,yield_ha
AKÁT,57600690226217624,1492.0,2017,SOJA,4.19
AKÁT,57600690226217624,1492.0,2018,PŠENICE J.,4.81
AKÁT,57600690226217624,1492.0,2019,PŠENICE OZ.,5
AKÁT,57600690226217624,1492.0,2020,SOJA,2.68
AKÁT,57600690226217624,1492.0,2021,PŠENICE OZ.,8.3
AKÁT,57600690226217624,1492.0,2022,KUKUŘICE,8.04
AKÁT,57600690226217624,1492.0,2023,OVES,3.76
AKÁT,57600690226217624,1492.0,2024,CUKROVKA,104.23
AKÁT VELKÝ,52110787935748656,1493.0,2017,JEČMEN J.,5.46
AKÁT VELKÝ,52110787935748656,1493.0,2018,PŠENICE OZ.,4.14
AKÁT VELKÝ,52110787935748656,1493.0,2019,SOJA,2.33
AKÁT VELKÝ,52110787935748656,1493.0,2020,PŠENICE OZ.,7.58
AKÁT VELKÝ,52110787935748656,1493.0,2021,PŠENICE OZ.,5.93
AKÁT VELKÝ,52110787935748656,1493.0,2022,KUKUŘICE,8.04
AKÁT VELKÝ,52110787935748656,1493.0,2023,JEČMEN J.,4.27
AKÁT VELKÝ,52110787935748656,1493.0,2024,JEČMEN OZ.,6.43
AMERIKA,0,,2017,PŠENICE OZ.,6.66
AMERIKA,0,,2018,ŘEPKA,2.68
AMERIKA,0,,2019,PŠENICE OZ.,6.82
AMERIKA,0,,2020,JETEL NACHOVÝ,-
AMERIKA,0,,2021,JETEL NACHOVÝ,-
AMERIKA,0,,2022,JETEL NACHOVÝ,VOJTĚŠKA
AMERIKA,0,,2023,JETEL NACHOVÝ,VOJTĚŠKA
AMERIKA,0,,2024,PŠENICE J.,6
BAŽANTNICE,52110787843474128,1495.0,2017,PŠENICE OZ.,8.33
BAŽANTNICE,52110787843474128,1495.0,2018,SLUNEČNICE,4.13
BAŽANTNICE,52110787843474128,1495.0,2019,PŠENICE OZ.,8.65
BAŽANTNICE,52110787843474128,1495.0,2020,PŠENICE OZ.,8.99
BAŽANTNICE,52110787843474128,1495.0,2021,SOJA,2.89
BAŽANTNICE,52110787843474128,1495.0,2022,PŠENICE OZ.,7.44
BAŽANTNICE,52110787843474128,1495.0,2023,PŠENICE OZ.,7.72
BAŽANTNICE,52110787843474128,1495.0,2024,JETEL NACHOVÝ,0.69
BEJŠOVEC,52110787904291424,1496.0,2017,PŠENICE OZ.,7.14
